Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Atlas Shrugged,Vertebral Ridge > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/110233819/atlas-shrugged,2,-1,Trad,5.11,2,150,34.89616,-111.81327
Corndog Spire,Corndog Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/110264453/corndog-spire,2.4,-1,Trad,5.10-,2,100,34.88603,-111.81316
Original Route,Ten Minute Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111660180/original-route,3,-1,Trad,5.9,1,100,34.88869,-111.8125
Times Up,Ten Minute Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112166823/times-up,3.3,-1,Trad,5.10+,2,140,34.88869,-111.8125
Chimney Route,Hidden Tower > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111660250/chimney-route,2.4,-1,Trad,5.8,1,200,34.88897,-111.81284
Dorsal Fin,Dorsal Fin > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112506522/dorsal-fin,1.7,-1,Trad,5.9,1,90,34.88778,-111.81252
Sparrow Spire,Secret Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111435244/sparrow-spire,1,-1,Trad,5.7 R,2,130,34.90922,-111.84107
Rotten Rock Spire,Secret Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111435065/rotten-rock-spire,1,-1,Trad,5.9,2,90,34.90922,-111.84107
Snaggletooth Spire,Secret Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111434926/snaggletooth-spire,2,-1,Trad,5.9,2,150,34.90922,-111.84107
Wild Woman Spire,Secret Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111434656/wild-woman-spire,3,-1,Trad,5.1,2,150,34.90922,-111.84107
Desert Mule,Secret Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/107557360/desert-mule,3.8,-1,Trad,5.11,2,225,34.90922,-111.84107
Underbelly,Lizardhead Cove > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112508669/underbelly,2.7,-1,Trad,5.9 R,2,230,34.88333,-111.81732
Chuckwalla,Lizardhead Cove > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112508592/chuckwalla,2.4,-1,Trad,5.1,3,220,34.88333,-111.81732
La Garganta de La Lagartija,North Lizardhead > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/113811728/la-garganta-de-la-lagartija,3,-1,Trad,5.10b,1,100,34.88365,-111.81672
No Spill Blood,North Lizardhead > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/113811605/no-spill-blood,2,-1,Trad,5.10+,1,60,34.88365,-111.81672
Reptoid Conspiracy,Hubble Wall > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114560438/reptoid-conspiracy,2.3,-1,Trad,5.9,1,80,34.8835,-111.8175
Church of Latterday Snakes,Hubble Wall > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114555006/church-of-latterday-snakes,2.5,-1,Trad,5.10-,1,80,34.8835,-111.8175
Hubble's Big Adventure,Hubble Wall > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114560778/hubbles-big-adventure,2,-1,Trad,5.10 PG13,2,200,34.8835,-111.8175
Zen Dog,First Buttress > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/117663820/zen-dog,2.7,-1,Trad,5.10+,1,90,34.88195,-111.81344
Deaf White Boxer,First Buttress > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/117663798/deaf-white-boxer,2.5,-1,Trad,5.11,2,275,34.88195,-111.81344
Lizard Skinner,First Buttress > Lizardhead Area > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/118726355/lizard-skinner,4,-1,Trad,5.11,3,300,34.88195,-111.81344
South Face,Scorpion Spire > Lost Dry Creek Cirque > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/115431073/south-face,2,-1,Trad,5.10-,1,85,34.893,-111.80944
Metamerism,Centipede Spire > Lost Dry Creek Cirque > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/115431329/metamerism,3,-1,Trad,5.10+,4,300,34.89299,-111.80837
Automaticity,Centipede Spire > Lost Dry Creek Cirque > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116925578/automaticity,3,-1,Trad,5.12-,5,350,34.89299,-111.80837
Piggly Wiggly,Bristle Pig Spire > Lost Dry Creek Cirque > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116180224/piggly-wiggly,2.7,-1,Trad,5.1,2,100,34.89277,-111.80889
That'll Do Piggly,Bristle Pig Spire > Lost Dry Creek Cirque > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116180248/thatll-do-piggly,2,-1,Trad,5.10+,2,100,34.89277,-111.80889
